station_name,mean_rank,std_rank
Maistraatintori,322.25,69.24533678643398
Heikinlaakso,322.875,125.19210238669211
Vanha Tapanilantie,323.125,62.81769257144041
Päijänteentie,324.125,130.7391646243262
Malminkartanonhuippu,324.625,145.62244275294015
Korkeasaari,325.5,67.09446077484093
Haakoninlahdenkatu,327.125,128.01326428668762
Erottajan aukio,327.25,118.80130470664032
Kaustisentie,329.75,84.32625134954516
Hollolantie,332.875,119.54383784481183
Kaapelitehdas,339.375,116.0972114221526
Karhusuontie,341.0,95.38081568114208
Jokipellontie,341.0,103.41905046943721
Hämeenlinnanväylä,341.125,54.6936544156023
Tuohipolku,341.375,133.91625181433358
Jollas,342.875,153.05030491094533
Kalannintie,345.125,94.94241675879123
Pirkkolan liikuntapuisto,347.0,61.335144900782616
Gransinmäki,349.75,113.36555914385991
Kurkimäki,350.0,121.34043019538046
Saniaiskuja,352.5,70.1225118393991
Trumpettikuja,372.875,38.57541315397672
