station_name,out_degree,in_degree,out_strength,in_strength,betweenness,closeness,pagerank,eigenvector
Ilmalan asema,246,234,8884.0,7153.0,0.0,124.21453791572057,0.0009448599808690137,0.00348098079742784
Vallipolku,123,121,5197.0,4174.0,0.0,98.00728279882495,0.0009439985328512226,6.866765331782765e-05
Golfpolku,148,144,6083.0,5998.0,0.0,112.46183897995647,0.0009431885924551655,0.0008129382163839725
Hauenkallio,100,97,5801.0,5451.0,0.0,144.1579079747185,0.0009356313141156605,0.0001725996350336857
Koskelan varikko,224,211,7841.0,7762.0,0.0,131.24770954072093,0.0009305097123475241,0.002297787540929503
Sateenkaarentie,41,43,352.0,363.0,0.0,22.419866730872187,0.0009248268713799608,3.767498135859221e-06
Itäkeskus Metrovarikko,90,86,2703.0,2686.0,0.0,118.47706551499682,0.0009195788932679802,4.498252750358489e-05
Lystimäensilta,92,97,5176.0,5242.0,0.0,149.43163624259554,0.0009193340889839305,9.979679913159757e-05
Punakiventie,42,43,850.0,854.0,0.0,39.7647824233703,0.0009158859253548526,3.96932840619988e-06
Hämeenlinnanväylä,205,209,5056.0,5064.0,0.0,94.730516622033,0.0009011171928467558,0.0007801217834573735
Väärämäentie,93,95,845.0,711.0,0.0,51.26560591454203,0.0008946995412736557,1.6019042335873414e-05
Paloheinäntie,131,142,1269.0,1387.0,0.016626757950827964,52.34808390474144,0.0008900561847982266,0.00011560997027200987
Sinkilätie,59,63,715.0,706.0,0.0,41.921983009762776,0.0008857656354728906,3.969674259879066e-06
Rukatunturintie,62,70,697.0,796.0,0.0,37.28351807399769,0.0008791752127011139,5.076744347914225e-06
Hankasuontie,90,95,1041.0,1068.0,0.009476914775218373,45.75163124968306,0.000878426001744842,3.659816628539648e-05
Saniaiskuja,62,63,500.0,538.0,0.0,51.808743703895196,0.0008765059369201402,5.630154724230909e-06
Säterinrinne,127,141,4503.0,4162.0,0.0,98.04234061813743,0.000872530722106031,8.52108858399874e-05
Viljelijäntie,71,57,911.0,884.0,4.496756714219869e-05,44.84426256325213,0.0008569159313929456,1.4754996402992116e-05
Karviaistie,81,85,727.0,726.0,0.01723382010724765,53.85687892098549,0.0008559763532235844,2.355926424192834e-05
Töyrynummentie,41,45,361.0,372.0,0.0,21.08597953959183,0.0008504429892655917,3.5669913187198263e-06
Välimerenkatu,199,196,13030.0,12989.0,0.0,138.09828754477456,0.0008502888909100976,0.015329579223549246
Puistolan VPK,46,49,334.0,357.0,3.3725675356649016e-05,21.571888949958602,0.0008472014663555565,3.521512686281278e-06
Alppikylä,52,57,373.0,386.0,3.3557046979865775e-05,26.319324049970998,0.0008471942898059331,6.515335941360557e-06
Jokipellontie,78,80,655.0,705.0,0.0,42.08113599858347,0.0008399036084258177,1.7117782120477557e-05
Mikkolantie,140,131,1456.0,1337.0,0.00020134228187919465,89.92903336146895,0.0008385598954646896,0.00010297186024475359
Jakomäentie,49,47,492.0,475.0,0.0004721594549930862,35.31849026884241,0.0008358295460551888,2.8770158550657066e-06
Karhusuontie,81,78,608.0,637.0,0.0,38.56988460473163,0.0008336098696753389,2.651743402297919e-05
Paloheinän maja,117,120,887.0,893.0,0.0,43.38951805475987,0.0008267910365160575,4.9965097559294e-05
Kaapelitehdas,200,205,11882.0,11900.0,0.0,135.28057562667647,0.0008198201663713486,0.013199397780628378
Vuosaaren liikuntapuisto,35,42,505.0,692.0,0.0,36.295035104459075,0.0008176655755684255,2.791585118309718e-06
Varustuksentie,53,51,649.0,614.0,0.0,49.13238744561612,0.0008170956360334186,3.244530037102148e-06
Ruutikatu,116,108,3895.0,3388.0,0.0,99.99731970238454,0.0008161430934742525,5.278440473968774e-05
Tuulimäki,147,149,4609.0,4522.0,0.0,106.80872358048255,0.0007862797346356266,0.00041667149496311105
Hakuninmaa,56,53,525.0,575.0,0.0,45.93764066462832,0.0007827088672373508,2.2256134888975317e-05
Kutsuntatie,126,108,2907.0,2834.0,0.0,93.1040613469825,0.0007656650655404475,5.994189852810008e-05
Kuninkaantammi,81,78,594.0,584.0,0.0022371364653243847,46.109534988289916,0.0007649638984805157,3.663669140894278e-05
Gransinmäki,96,99,2988.0,3042.0,0.0,91.70769573481066,0.0007605800841849917,3.849670540068881e-05
Kivikon liikuntapuisto,83,86,691.0,670.0,0.0,44.60409261340561,0.000758303355880706,1.703604721241328e-05
Heikinlaakso,46,51,270.0,273.0,0.0,15.711594420591327,0.0007483690996357911,3.638368443179774e-06
Betonimies,209,203,5476.0,5089.0,0.0,109.71211486997953,0.0007427507250194351,0.0009131362933004167
Sompasaari,195,185,8656.0,8756.0,0.0,141.84216157749333,0.0007394398280363608,0.005609255772225518
Kivikonlaita,83,83,797.0,781.0,0.0,53.21094408762918,0.0007316407405303467,1.0064899932479135e-05
Puistolantori,35,42,230.0,254.0,0.0,20.42906428110684,0.0007170897272548481,4.206675881622853e-06
Torpparinmäentie,115,106,564.0,603.0,2.237136465324385e-05,25.43069005998404,0.0007067519898683733,3.164931083952757e-05
Tuukkalantie,64,59,490.0,496.0,0.0,34.54817593164195,0.0007062152033781228,4.50659739948269e-06
Elfvik,130,128,3040.0,3099.0,0.0,89.02625039341008,0.0006965548268292195,0.0001372622082010912
Maununneva,84,92,624.0,623.0,0.0,46.35743929079806,0.0006935243497199887,3.5258347243240814e-05
Etupellonpuisto,115,122,1083.0,1128.0,0.00721729452632289,91.20665684638075,0.000689640763126329,7.781996636204617e-05
Kivikonkaari,49,44,488.0,422.0,0.0,43.007876340486284,0.0006877631719433947,2.5633505990759347e-06
