station_name,latitude,longitude,community,pagerank
Hollolantie,60.1958861886173,24.9546058093258,inf_9,0.001639280234418898
Ruskeasuon varikko,60.2076799515229,24.898667890775698,inf_1,0.0011481127432843993
Vanha kirkkopuisto,60.1653538465664,24.9391145483706,inf_7,0.004424734286799698
Kauppakorkeakoulu,60.171202903,24.923839759,inf_7,0.003920345654455694
Huhtakuja,60.2575633298897,25.0131080169475,inf_9,0.0011971136175181153
Margareetankuja,60.1910267485051,25.0372267110383,inf_5,0.0012776355762875303
Puotilan ostoskeskus,60.2127005636951,25.0955595128971,inf_5,0.002651364219802041
Vähäntuvantie,60.2324510345281,24.846165047021,inf_1,0.0006173854423079779
Rautatientori / länsi,60.1706060919732,24.939760100063303,inf_2,0.007840789840760564
Puistolan VPK,60.2700856600164,25.057535566169896,inf_9,0.0008472014663555563
Kutsuntatie,60.230453,24.824561,inf_8,0.0007656650655404474
Linnakepolku,60.1637,24.790132,inf_3,0.0013554591361354025
Gyldenintie,60.15838419165749,24.8766657996794,inf_4,0.004005011541937668
Kaivonkatsojanpuisto,60.20440477014421,25.1359993335263,inf_5,0.001317590992516873
Herttoniemen kirkko,60.1984720937284,25.0322254160118,inf_5,0.0010143428403781305
Honkasuo,60.255557476007006,24.8465809743929,inf_1,0.0006627833305214251
Malmin asema,60.25232552583721,25.0091215694658,inf_9,0.0035784270331227345
Vanha Kauppahalli,60.1652833427097,24.9535685411145,inf_0,0.0016259085177182397
Pasilan asema,60.1982108580315,24.932799079033,inf_6,0.0031697683289371704
Mellunmäki (M),60.2385353540219,25.1098747367064,inf_5,0.0017296973266202227
Tunnelitie,60.2166149334764,24.8995694064157,inf_1,0.0018475631845610069
Karhulantie,60.2187064270041,25.102201919701198,inf_5,0.002024668749169018
Matinkartanontie,60.156258,24.752489,inf_3,0.0029791101946953957
Kuusisaari,60.1845083389847,24.8567965996401,inf_1,0.00045576705686500065
Kulttuuriaukio,60.177588,24.803942,inf_3,0.0019551529077549987
Muusantori,60.207119292,24.8559544008311,inf_1,0.001703211940200635
Cygnaeuksenkatu,60.17410087166851,24.9282685568484,inf_2,0.0016528401599272759
Aurinkotuulenkatu,60.202773395376,25.1593463483962,inf_5,0.0018722556151281793
