station_name,pagerank,betweenness,out_strength,in_strength,z_pagerank,z_betweenness,z_out_strength,z_in_strength,bridge_vs_popularity,pagerank_eps,betweenness_eps
Torpparinmäentie,0.0007067519898683733,0.0,564.0,603.0,-0.9121259296949934,-0.2991432458234928,-0.7099806090849327,-0.7037333895527386,0.6129826838715007,0.0007067619898683733,1e-08
Jakomäentie,0.0008358295460551885,0.003120805369127517,492.0,475.0,-0.8346900734995646,-0.227789300159588,-0.7117293845579185,-0.7068190846991007,0.6069007733399766,0.0008358395460551886,0.003120815369127517
Puistolantori,0.0007170897272548481,0.0,230.0,254.0,-0.9059241424184619,-0.2991432458234928,-0.7180929841957276,-0.7121467302252417,0.606780896594969,0.0007170997272548482,1e-08
Luoteisväylä,0.002255845367718233,0.04014541387024609,34945.0,36482.0,0.017201953355876258,0.6187395892580628,0.12508396781398687,0.16120142416857675,0.6015376359021866,0.002255855367718233,0.04014542387024609
Kivikonlaita,0.0007316407405303464,0.0,797.0,781.0,-0.8971947381379185,-0.2991432458234928,-0.704321377345965,-0.6994423447398287,0.5980514923144258,0.0007316507405303465,1e-08
Sompasaari,0.0007394398280363608,0.0,8656.0,8756.0,-0.8925159307881945,-0.2991432458234928,-0.5134376767599259,-0.5071890729254668,0.5933726849647016,0.0007394498280363608,1e-08
Tilkanvierto,0.004261419543184016,0.09240492170022371,72103.0,73588.0,1.2203805541024062,1.8135984929919795,1.0275978431640362,1.055715518706973,0.5932179388895733,0.004261429543184016,0.09240493170022371
Betonimies,0.0007427507250194354,0.0,5476.0,5089.0,-0.8905296664814223,-0.2991432458234928,-0.5906752601501288,-0.5955894174700769,0.5913864206579296,0.0007427607250194354,1e-08
Heikinlaakso,0.000748369099635791,0.0,270.0,273.0,-0.887159106473186,-0.2991432458234928,-0.717121442266291,-0.7116886973519535,0.5880158606496932,0.000748379099635791,1e-08
Kivikon liikuntapuisto,0.000758303355880706,0.0,691.0,670.0,-0.8811993745049388,-0.2991432458234928,-0.7068959634589718,-0.7021182209995647,0.5820561286814461,0.000758313355880706,1e-08
Gransinmäki,0.0007605800841849919,0.0,2988.0,3042.0,-0.8798335258572345,-0.2991432458234928,-0.65110516816108,-0.6449364328185406,0.5806902800337417,0.000760590084184992,1e-08
Kuninkaantammi,0.0007649638984805155,0.0,594.0,584.0,-0.8772035999165518,-0.2991432458234928,-0.7092519526378553,-0.7041914224260267,0.5780603540930591,0.0007649738984805155,1e-08
Kutsuntatie,0.0007656650655404476,0.0,2907.0,2834.0,-0.8767829576823334,-0.2991432458234928,-0.6530725405681889,-0.6499506874313792,0.5776397118588406,0.0007656750655404477,1e-08
Kirjurinkuja,0.00416463267068839,0.08870976807977246,28763.0,30770.0,1.1623164369809964,1.7291126762019462,-0.02506783738042635,0.02350227826216484,0.5667962392209498,0.00416464267068839,0.08870977807977246
Tuulimäki,0.000786279734635627,0.0,4609.0,4522.0,-0.8644158615059826,-0.2991432458234928,-0.6117334314706653,-0.609258082688728,0.5652726156824899,0.0007862897346356271,1e-08
Laajalahden aukio,0.004823690054656354,0.10583892617449665,65473.0,72808.0,1.5576963490054831,2.1207529329287165,0.8665647683599341,1.0369120639088287,0.5630565839232333,0.004823700054656354,0.10583893617449665
Ruutikatu,0.0008161430934742525,0.0,3895.0,3388.0,-0.8465003165510302,-0.2991432458234928,-0.6290754549111071,-0.6365954131260304,0.5473570707275375,0.0008161530934742526,1e-08
Varustuksentie,0.0008170956360334187,0.0,649.0,614.0,-0.8459288698114834,-0.2991432458234928,-0.7079160824848801,-0.703468212626098,0.5467856239879907,0.0008171056360334188,1e-08
Vuosaaren liikuntapuisto,0.0008176655755684256,0.0,505.0,692.0,-0.8455869532368544,-0.2991432458234928,-0.7114136334308515,-0.7015878671462836,0.5464437074133617,0.0008176755755684256,1e-08
Kaapelitehdas,0.0008198201663713486,0.0,11882.0,11900.0,-0.8442943769865443,-0.2991432458234928,-0.43508282015087113,-0.43139668589294594,0.5451511311630515,0.0008198301663713487,1e-08
Karhusuontie,0.0008336098696753388,0.0,608.0,637.0,-0.8360216957120402,-0.2991432458234928,-0.7089119129625525,-0.7029137517794861,0.5368784498885475,0.0008336198696753389,1e-08
Mikkolantie,0.0008385598954646897,0.0,1456.0,1337.0,-0.8330520897130463,-0.2991432458234928,-0.6883152240584984,-0.686038856447818,0.5339088438895536,0.0008385698954646898,1e-08
Jokipellontie,0.0008399036084258178,0.0,655.0,705.0,-0.8322459730906084,-0.2991432458234928,-0.7077703511954646,-0.7012744762329812,0.5331027272671156,0.0008399136084258178,1e-08
Puistolan VPK,0.0008472014663555563,0.00010067114093959733,334.0,357.0,-0.8278678620240804,-0.29684150564078615,-0.7155669751791927,-0.7096637099121533,0.5310263563832942,0.0008472114663555563,0.00010068114093959732
Kannelmäen asema,0.0012861307599300914,0.011599552572706937,1641.0,1613.0,-0.5645465948627592,-0.03393162699385407,-0.6838218426348546,-0.6793853262884746,0.530614967868905,0.0012861407599300914,0.011599562572706936
Alppikylä,0.0008471942898059333,0.0,373.0,386.0,-0.8278721673601978,-0.2991432458234928,-0.714619721797992,-0.7089646071055556,0.528728921536705,0.0008472042898059333,1e-08
Välimerenkatu,0.0008502888909100979,0.0,13030.0,12989.0,-0.8260156626884058,-0.2991432458234928,-0.4071995667760432,-0.40514417015553655,0.526872416864913,0.000850298890910098,1e-08
Töyrynummentie,0.0008504429892655917,0.0,361.0,372.0,-0.8259232164223896,-0.2991432458234928,-0.714911184376823,-0.709302105012189,0.5267799705988969,0.0008504529892655918,1e-08
Viljelijäntie,0.0008569159313929457,0.0,911.0,884.0,-0.8220399865988434,-0.2991432458234928,-0.701552482847071,-0.6969593244267404,0.5228967407753506,0.0008569259313929458,1e-08
Lehtisaarentie,0.0023620672215484647,0.03921700223713647,27643.0,29791.0,0.08092627880022393,0.5975124297953243,-0.05227101140464874,-9.84682088395832e-05,0.5165861509951003,0.0023620772215484647,0.03921701223713647
Säterinrinne,0.0008725307221060315,0.0,4503.0,4162.0,-0.8126724038532401,-0.2991432458234928,-0.614308017583672,-0.6179366002878717,0.5135291580297474,0.0008725407221060315,1e-08
Saniaiskuja,0.0008765059369201402,0.0,500.0,538.0,-0.8102876038013571,-0.2991432458234928,-0.7115350761720312,-0.7053003441192506,0.5111443579778643,0.0008765159369201402,1e-08
Rapakiventie,0.0009547883651586533,0.001989814846042292,1355.0,1335.0,-0.7633246225148732,-0.2536482137364946,-0.6907683674303257,-0.6860870704344799,0.5096764087783786,0.0009547983651586534,0.001989824846042292
