experiment_id,rq,aggregation,graph_set,model,alpha,validation_wmape,validation_mae,validation_rmse,validation_mase
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.9,0.8500008635543317,2.627567593921894,6.011468203030274,1.733604727840364
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.95,0.876300709274056,2.7088670670181063,6.393655353416849,1.7872441284999514
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,1.0,0.9046125343800294,2.7963860771308355,6.837756096444125,1.8449870273156863
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.0,0.7421958420628818,2.2943150137439194,28.449299884518442,1.513732839521319
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.05,0.7274676276330576,2.248786378878403,22.679238946373335,1.4836941616058372
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.1,0.7164103415439397,2.2146055117166927,18.189681076725652,1.4611424628216476
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.15,0.708563260855228,2.1903482011554654,14.709229426666717,1.4451380835733603
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.2,0.7035345420739435,2.174803159879392,12.026763846723783,1.4348818461646586
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.25,0.7009634500065628,2.1668552641925696,9.977761560981325,1.4296380192994886
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.3,0.7006449404415366,2.1658706705911968,8.43338112324828,1.4289884085620561
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.35,0.7024703488845384,2.1715134696472433,7.291482454127999,1.4327113891409171
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.4,0.7063735669092944,2.1835793034994286,6.469773105722429,1.4406721307255945
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.45,0.7121949977798949,2.201574818282654,5.900777698745974,1.452545130522169
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.5,0.7199319548287806,2.2254917088281636,5.529119089362596,1.4683249089837573
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.55,0.7295615545544633,2.2552592364467112,5.310235440372652,1.4879647944561638
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.6,0.7410985550407568,2.2909230221069814,5.209482299511678,1.511494886536896
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.65,0.7545674411921729,2.3325587548398836,5.201092691074794,1.538965122994304
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.7,0.7699987433635143,2.380260811691784,5.267059250131313,1.570437771491514
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.75,0.7873582498590819,2.4339234356607706,5.395605141145619,1.6058430561495196
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.8,0.8066751314920119,2.4936368011061547,5.57972835792866,1.6452404718014857
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.85,0.8280521840442345,2.5597186757820327,5.815946521658086,1.688839673826833
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.9,0.8515111055590823,2.632236133826746,6.103371422681409,1.7366849160988447
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,0.95,0.8770292878286792,2.7111192875532115,6.443092218697961,1.788730088433705
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,graph_propagation,1.0,0.9046125343800294,2.7963860771308355,6.837756096444125,1.8449870273156863
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.0,1.2097958464811382,3.7397848611385043,331.90322979200715,2.4674184334487763
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.05,1.0696792503153312,3.3066490335860395,228.74074625940494,2.181646025470022
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.1,0.9690957843240324,2.995720107445968,157.9811335469434,1.9765027371962445
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.15,0.8968240942502711,2.772310039364733,109.39955784505734,1.8291022474167682
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.2,0.845016191905197,2.6121587134687143,76.01499610352062,1.7234383260069148
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.25,0.8082179325810804,2.498405989373273,53.05860918767245,1.6483870653836878
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.3,0.7826284850028781,2.4193025365583103,37.27169902339499,1.5961965451071645
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.35,0.7655683030535527,2.3665652004466593,26.427644922643097,1.5614017427095588
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.4,0.7551551515527218,2.334375516168258,19.005904931905867,1.5401637776114157
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.45,0.7500296687741065,2.3185313529094365,13.968748078064696,1.5297101868464413
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.5,0.7493018098654961,2.316281356982121,10.606489125528514,1.5282256946544084
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.55,0.7523137774048986,2.325592110229341,8.427814116612,1.534368701550396
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.6,0.7585887429777455,2.344989615454504,7.082419281980145,1.5471667002943439
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.65,0.7678465690307059,2.373607896646838,6.311620813032366,1.5660483411291828
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.7,0.7798702833529139,2.410776237840633,5.924579919787789,1.5905711020920594
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.75,0.7944988072840673,2.455996704167786,5.787833524408116,1.6204064579554978
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.8,0.8116085802951667,2.5088873387905952,5.8153433924730615,1.6553024029552308
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.85,0.8312039912557935,2.569461708814672,5.9562475624166,1.6952678883351713
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.9,0.8532493750508614,2.6376095643512785,6.1820528341631835,1.740230173919652
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,0.95,0.8777568183042861,2.7133682682110685,6.478128876462138,1.7902139107758215
RQ2_DE_DC_STATION,RQ2,station,DE+DC,graph_propagation,1.0,0.9046125343800294,2.7963860771308355,6.837756096444125,1.8449870273156863
RQ2_SD_DC_STATION,RQ2,station,SD+DC,graph_propagation,0.0,0.6572705150249655,2.0317893543052405,4.526682405118422,1.34052484082508
RQ2_SD_DC_STATION,RQ2,station,SD+DC,graph_propagation,0.05,0.6544056675934194,2.0229333865110624,4.42655499188509,1.3346818902295927
RQ2_SD_DC_STATION,RQ2,station,SD+DC,graph_propagation,0.1,0.6533819768218245,2.019768899493494,4.3475768848703,1.33259403921958
RQ2_SD_DC_STATION,RQ2,station,SD+DC,graph_propagation,0.15,0.6541129933083664,2.0220286562925964,4.288577287136502,1.3340849713956944
RQ2_SD_DC_STATION,RQ2,station,SD+DC,graph_propagation,0.2,0.6564471004935847,2.029243971786482,4.248570477093054,1.3388454597964476
RQ2_SD_DC_STATION,RQ2,station,SD+DC,graph_propagation,0.25,0.6602884683807305,2.041118611224365,4.2270966641565195,1.3466800559904837
RQ2_SD_DC_STATION,RQ2,station,SD+DC,graph_propagation,0.3,0.6655800891746642,2.0574763490969152,4.224074464131123,1.357472490703952
RQ2_SD_DC_STATION,RQ2,station,SD+DC,graph_propagation,0.35,0.6723144402810733,2.0782939311630093,4.2398003292912225,1.3712074213582452
RQ2_SD_DC_STATION,RQ2,station,SD+DC,graph_propagation,0.4,0.6805246941958941,2.103673901995326,4.274685550825904,1.3879525043502616
RQ2_SD_DC_STATION,RQ2,station,SD+DC,graph_propagation,0.45,0.6901753573639144,2.1335065420400796,4.329487217922864,1.4076353494063427
